player_name,total_distance,multiplier,Team
Cavan Biggio,88787,699.110236220473,Toronto
Hunter Renfroe,88580,697.48031496063,San Diego
Albert Pujols,87461,688.669291338583,Los Angeles
Brett Gardner,87297,687.377952755906,New York
Eric Thames,87133,686.086614173228,Milwaukee
Shohei Ohtani,86941,684.574803149606,
Adam Jones,86818,683.606299212598,Arizona
Willie Calhoun,86518,681.244094488189,Texas
Brandon Dixon,86325,679.724409448819,Detroit
Enrique Hernandez,86302,679.543307086614,Los Angeles
Joc Pederson,85966,676.897637795276,Los Angeles
Ji-Man Choi,85402,672.456692913386,Tampa Bay
Brian Dozier,85122,670.251968503937,Washington
Avisail Garcia,84228,663.212598425197,Tampa Bay
Harold Castro,84214,663.102362204724,Detroit
Nicky Lopez,84180,662.834645669291,Kansas City
Daniel Vogelbach,83861,660.322834645669,Seattle
Jurickson Profar,83661,658.748031496063,Oakland
Tommy Edman,83551,657.88188976378,St. Louis
Niko Goodrum,82820,652.125984251969,
Garrett Cooper,82774,651.763779527559,
Miguel Sano,82572,650.173228346457,Minnesota
Orlando Arcia,82522,649.779527559055,Milwaukee
Javier Baez,82370,648.582677165354,Chicago
Edwin Encarnacion,81919,645.031496062992,
Nick Senzel,81696,643.275590551181,
Ramon Laureano,81383,640.811023622047,Oakland
Harold Ramirez,81240,639.685039370079,Miami
Gary Sanchez,81103,638.606299212598,New York
Raimel Tapia,81029,638.023622047244,Colorado
Khris Davis,80990,637.716535433071,Oakland
Eloy Jimenez,80883,636.874015748032,Chicago
George Springer,80493,633.803149606299,Houston
David Dahl,80310,632.36220472441,
Chris Taylor,79875,628.937007874016,Los Angeles
Nick Markakis,79140,623.149606299213,Atlanta
Mallex Smith,78626,619.102362204724,Seattle
Marwin Gonzalez,78402,617.338582677165,Minnesota
Robbie Grossman,78309,616.606299212598,Oakland
Nomar Mazara,78204,615.779527559055,Texas
Justin Smoak,78128,615.181102362205,Toronto
J.D. Davis,77841,612.92125984252,New York
Travis d'Arnaud,77818,612.740157480315,Tampa Bay
Wilson Ramos,77696,611.779527559055,New York
Jose Peraza,77508,610.299212598425,Cincinnati
Brian Goodwin,77440,609.763779527559,Los Angeles
Jose Altuve,76518,602.503937007874,Houston
Ryan Braun,76322,600.96062992126,Milwaukee
Christin Stewart,76205,600.03937007874,Detroit
Matt Carpenter,75641,595.59842519685,St. Louis
Buster Posey,75553,594.905511811024,San Francisco
Stephen Vogt,75332,593.165354330709,San Francisco
Ian Desmond,74446,586.188976377953,Colorado
Yordan Alvarez,74300,585.03937007874,Houston
Jonathan Schoop,74011,582.763779527559,Minnesota
J.P. Crawford,73569,579.283464566929,Seattle
Howie Kendrick,72323,569.472440944882,Washington
Brian Anderson,71767,565.094488188976,
Victor Reyes,71524,563.181102362205,Detroit
Danny Jansen,71503,563.015748031496,Toronto
Corey Dickerson,71497,562.968503937008,
Jorge Alfaro,71119,559.992125984252,Miami
Harrison Bader,70550,555.511811023622,St. Louis
Tony Wolters,69844,549.952755905512,Colorado
Kevin Kiermaier,69731,549.062992125984,Tampa Bay
Luke Voit,69201,544.889763779528,New York
